"Designator","Mid X","Mid Y","Layer","Rotation"
"R253","108.000000","-118.000000","Top","0.0"
"R254","134.000000","-118.000000","Top","0.0"
"R255","138.000000","-118.000000","Top","0.0"
"R260","88.000000","-132.000000","Top","90.0"
"R261","88.000000","-136.000000","Top","90.0"
"R262","88.000000","-140.000000","Top","90.0"
"R270","200.000000","-111.000000","Top","270.0"
"R271","200.000000","-114.000000","Top","270.0"
"R272","190.000000","-116.000000","Top","90.0"
"R3011","43.000000","-120.000000","Top","0.0"
"R3012","47.000000","-120.000000","Top","0.0"
"R3021","103.000000","-120.000000","Top","0.0"
"R3022","107.000000","-120.000000","Top","0.0"
"R3031","183.000000","-120.000000","Top","0.0"
"R3032","187.000000","-120.000000","Top","0.0"
"R3041","205.000000","-120.000000","Top","0.0"
"R3042","209.000000","-120.000000","Top","0.0"
"U230","186.000000","-88.000000","Top","180.0"
"U250","82.000000","-132.000000","Top","270.0"
"U270","195.000000","-116.000000","Top","180.0"
